state,population_total,population_under_18,earnings_median,population_over_18
Alabama,5039877,1119942,34925,3919935
Puerto Rico,3263584,545788,17843,2717796
Arizona,7276316,1614284,39023,5662032
Arkansas,3025891,703793,33869,2322098
California,39237836,8769779,41891,30468057
Colorado,5812069,1241947,44818,4570122
Connecticut,3605597,727239,45511,2878358
Delaware,1003384,208517,41374,794867
District of Columbia,670050,125729,72457,544321
Florida,21781128,4287823,35997,17493305
Georgia,10799566,2522124,37512,8277442
Hawaii,1441553,304201,40595,1137352
Idaho,1900923,469986,34941,1430937
Illinois,12671469,2800177,41504,9871292
Indiana,6805985,1585398,37998,5220587
Iowa,3193079,736984,39068,2456095
Kansas,2934582,702206,38071,2232376
Kentucky,4509394,1015455,34928,3493939
Louisiana,4624047,1082043,34896,3542004
Maine,1372247,249675,39725,1122572
Maryland,6165129,1360097,50548,4805032
Massachusetts,6984723,1361940,50683,5622783
Michigan,10050811,2151937,37258,7898874
Minnesota,5707390,1308981,43853,4398409
Mississippi,2949965,691885,32242,2258080
Missouri,6168187,1383537,37083,4784650
Montana,1104271,234847,35272,869424
Nebraska,1963692,482202,38898,1481490
Nevada,3143991,697619,37052,2446372
New Hampshire,1388992,256254,45677,1132738
New Jersey,9267130,2020876,50021,7246254
New Mexico,2115877,471808,34133,1644069
New York,19835913,4103566,43462,15732347
North Carolina,10551162,2299746,37218,8251416
North Dakota,774948,182589,39438,592359
Ohio,11780017,2603410,38214,9176607
Oklahoma,3986639,957938,34460,3028701
Oregon,4246155,858666,40063,3387489
Pennsylvania,12964056,2674227,40983,10289829
Rhode Island,1095610,208321,41891,887289
South Carolina,5190705,1115996,35987,4074709
South Dakota,895376,220621,37149,674755
Tennessee,6975218,1537615,36663,5437603
Texas,29527941,7456547,38059,22071394
Utah,3337975,945457,37325,2392518
Vermont,645570,116767,40249,528803
Virginia,8642274,1881818,43963,6760456
Washington,7738692,1675782,46951,6062910
West Virginia,1782959,361392,33739,1421567
Wisconsin,5895908,1274605,40678,4621303
Wyoming,578803,131529,35613,447274
Alaska,732673,179401,41962,553272
