state_abbr,state,handle,revenue,hold,taxes,Teams Count,MLB,NBA,NFL,NHL,MLS,NCAA
AK,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,Arkansas,486217898.0,49119871.0,0.10099999999999999,7134908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,Arizona,11005985362.0,907366992.0,0.08199999999999999,51509590.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0
CA,California,0.0,0.0,0.0,0.0,19.0,5.0,4.0,3.0,3.0,4.0,0.0
CO,Colorado,12795525493.0,857637396.0,0.067,46491000.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0
CT,Connecticut,2739546897.0,276599033.0,0.10099999999999999,27911334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC,District of Columbia,598243001.0,73848263.0,0.12300000000000001,18623076.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0
DE,Delaware,567831224.0,112283049.0,0.198,66008234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL,Florida,0.0,0.0,0.0,0.0,11.0,2.0,2.0,3.0,2.0,2.0,0.0
GA,Georgia,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0
HI,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,Iowa,6394943025.0,448776797.0,0.07,30292576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,Illinois,24059865704.0,1962146676.0,0.08199999999999999,312219908.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0
IN,Indiana,12751685026.0,1085683295.0,0.085,103236082.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
KS,Kansas,1756305481.0,158767938.0,0.09,6503379.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
KY,Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA,Louisiana,3798869468.0,402626505.0,0.106,55094937.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
MA,Massachusetts,2265472484.0,235255646.0,0.10400000000000001,45716658.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0
MD,Maryland,3313550990.0,433593390.0,0.131,31454432.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0
ME,Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI,Michigan,11268699327.0,972698437.0,0.086,49613201.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0
MN,Minnesota,0.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0
MO,Missouri,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,1.0,1.0,0.0
MS,Mississippi,2249616951.0,255030803.0,0.113,30603696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,Montana,149796135.0,20555840.0,0.13699999999999998,3345736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,North Carolina,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0
ND,North Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,Nebraska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NH,New Hampshire,2369549589.0,180081224.0,0.076,82542292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NJ,New Jersey,39461272422.0,2871419711.0,0.073,397552569.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0
NM,New Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NV,Nevada,33520083578.0,1885621000.0,0.055999999999999994,127279418.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
NY,New York,25545018522.0,2231885589.0,0.087,1116577865.0,9.0,2.0,2.0,1.0,3.0,1.0,0.0
OH,Ohio,3824758134.0,541598207.0,0.142,54280486.0,8.0,2.0,1.0,2.0,1.0,2.0,0.0
OK,Oklahoma,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
OR,Oregon,1254314057.0,120810711.0,0.096,60405356.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
PA,Pennsylvania,22766881865.0,1856291582.0,0.08199999999999999,462263411.0,8.0,2.0,1.0,2.0,2.0,1.0,0.0
PR,Puerto Rico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RI,Rhode Island,1707470362.0,152391731.0,0.08900000000000001,77719783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SC,South Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,South Dakota,13834301.0,1704952.0,0.12300000000000001,153446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Tennessee,9066781322.0,886312510.0,0.098,157367429.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0
TX,Texas,0.0,0.0,0.0,0.0,11.0,2.0,3.0,2.0,1.0,3.0,0.0
UT,Utah,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
VA,Virginia,10748305916.0,1037483246.0,0.09699999999999999,106594915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VT,Vermont,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA,Washington,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0
WI,Wisconsin,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0
WV,West Virginia,2051711160.0,172240532.0,0.084,17225963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WY,Wyoming,260463927.0,26680404.0,0.102,1436139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
