state_abbr,date,handle,revenue,hold,taxes,primary_key,state,population_total,population_under_18,earnings_median,population_over_18,online,in_person,Ways_to_bet,tax_status,year,month
AR,July 2019,416160.0,76885.0,0.185,9995.0,1,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,No,2019,7
AR,August 2019,778249.0,58858.0,0.076,7652.0,2,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2019,8
AR,September 2019,2252196.0,183044.0,0.081,23796.0,3,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2019,9
AR,October 2019,2216369.0,380006.0,0.171,49401.0,4,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2019,10
AR,November 2019,2978235.0,181497.0,0.061,23595.0,5,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,No,2019,11
AR,December 2019,2633806.0,455368.0,0.173,59198.0,6,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2019,12
AR,January 2020,2587732.0,254811.0,0.098,33263.0,7,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2020,1
AR,February 2020,4294366.0,411589.0,0.096,67494.0,8,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2020,2
AR,March 2020,1588403.0,222373.0,0.14,38310.0,9,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2020,3
AR,April 2020,0.0,0.0,0.0,0.0,10,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,No,2020,4
AR,May 2020,509.0,-115.0,-0.226,-15.0,11,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2020,5
AR,June 2020,1189.0,10.0,0.008,1.0,12,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,No,2020,6
AR,July 2020,179315.0,-19633.0,-0.109,-2552.0,13,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2020,7
AR,August 2020,1008992.0,69625.0,0.069,9051.0,14,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2020,8
AR,September 2020,3958748.0,397095.0,0.1,51622.0,15,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2020,9
AR,October 2020,6559859.0,940513.0,0.143,122267.0,16,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2020,10
AR,November 2020,6288249.0,975984.0,0.155,126878.0,17,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2020,11
AR,December 2020,6415446.0,1054273.0,0.1639999999999999,137055.0,18,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2020,12
AR,January 2021,7187194.0,1383240.0,0.192,180474.0,19,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2021,1
AR,February 2021,4469442.0,651239.0,0.146,92922.0,20,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2021,2
AR,March 2021,5947427.0,805182.0,0.135,130877.0,21,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2021,3
AR,April 2021,4065703.0,756328.0,0.186,131137.0,22,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2021,4
AR,May 2021,3687207.0,506142.0,0.1369999999999999,81710.0,23,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2021,5
AR,June 2021,3895683.0,382940.0,0.098,59088.0,24,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2021,6
AR,July 2021,2908833.0,449040.0,0.154,58375.0,25,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2021,7
AR,August 2021,2892285.0,310481.0,0.107,40363.0,26,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2021,8
AR,September 2021,7007774.0,809404.0,0.1159999999999999,105223.0,27,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2021,9
AR,October 2021,9506183.0,803567.0,0.085,104464.0,28,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2021,10
AR,November 2021,8380191.0,1623434.0,0.1939999999999999,211047.0,29,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2021,11
AR,December 2021,7794292.0,130305.0,0.017,6188.0,30,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2021,12
AR,January 2022,8775932.0,1181335.0,0.135,153574.0,31,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,No,2022,1
AR,February 2022,5876444.0,359103.0,0.061,61390.0,32,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2022,2
AR,March 2022,10686501.0,791867.0,0.074,119671.0,33,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2022,3
AR,April 2022,8598226.0,749810.0,0.087,120297.0,34,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,No,2022,4
AR,May 2022,10185647.0,615576.0,0.06,117426.0,35,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2022,5
AR,June 2022,12632207.0,4045.0,0.0,12598.0,36,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2022,6
AR,July 2022,9290467.0,854436.0,0.092,111077.0,37,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2022,7
AR,August 2022,10195911.0,1015339.0,0.1,131994.0,38,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2022,8
AR,September 2022,21185547.0,3208032.0,0.151,417044.0,39,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2022,9
AR,October 2022,26879107.0,2793719.0,0.104,363183.0,40,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,,2022,10
AR,November 2022,30576009.0,2999450.0,0.098,452393.0,41,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2022,11
AR,December 2022,30936485.0,3409972.0,0.11,449690.0,42,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2022,12
AR,January 2023,32976264.0,2868244.0,0.087,439379.0,43,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,No,2023,1
AR,February 2023,29532263.0,1709714.0,0.0579999999999999,254925.0,44,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,No,2023,2
