state,place_id
Alaska,51abd1ab01cab562c05906b243a18a1c5040f00101f9016e08110000000000c0020a
Alabama,51831b841417b555c0593684190923a14040f00101f9019e78020000000000c0020a
Arkansas,519d610f92aa1c57c059a1eaa1c7399a4140f00101f9016e77020000000000c0020a
Arizona,51aeb6627fd9f05bc0591c5e10919a324140f00101f901e278020000000000c0020a
California,51f1b73d4162b05dc059e6ecf88ac9594240f00101f9016386020000000000c0020a
Colorado,516150a6d1e4665ac05959e59d9ed25c4340f00101f901a978020000000000c0020a
Connecticut,512b2c5d66fd2e52c0590f9fcfdb33d34440f00101f901a287020000000000c0020a
District of Columbia,51ddc7f2173c3f53c059e2ee079769724340f00101f9011579020000000000c0020a
Delaware,51b2d6506aafd952c059b4ed0fef94584340f00101f9013e79020000000000c0020a
Florida,518d98d9e7b15d54c059ac336376bbc13b40f00101f9010279020000000000c0020a
Georgia,51ed56e07547c754c059a9b64027292a4040f00101f901a578020000000000c0020a
Hawaii,519ebd3435b56d63c059d4d0066003983340f00101f901a38a020000000000c0020a
Iowa,515b40683dfc5357c059ec4bdb64f9f54440f00101f9017277020000000000c0020a
Idaho,514948a46dfc805cc059d85020a287d24540f00101f9014479020000000000c0020a
Illinois,5155d57036c25b56c059cee38b51320a4440f00101f901dade010000000000c0020a
Indiana,512495ce2c2e8b55c05936f0598ddb294440f00101f9011878020000000000c0020a
Kansas,5197091a8e42a558c05917f19d98f5224340f00101f9016c77020000000000c0020a
Kentucky,51fdb0efd4ed4955c0598ccc6d0c4bc94240f00101f9017777020000000000c0020a
Louisiana,51e23c9cc0740057c059dc5328c1d1de3e40f00101f9019a6e030000000000c0020a
Massachusetts,5126e0d748120252c059c518fd0d7f304540f00101f90183ef000000000000c0020a
Maryland,516b18f4940b3c53c0591f31d52714c24340f00101f9014079020000000000c0020a
Maine,51d306712ffa3651c0598a58c4b0c3da4640f00101f90118f8000000000000c0020a
Michigan,512a2a2c02ad2b55c05910768a5583cf4540f00101f9019d87020000000000c0020a
Minnesota,5196c6d40220a757c059d759e322adfe4640f00101f9015f86020000000000c0020a
Missouri,514df38e53f42357c05944db317557614340f00101f9016677020000000000c0020a
Mississippi,516d3e09c7076f56c059e350bf0b5b7c4040f00101f9019778020000000000c0020a
Montana,51d4450a65e1685bc059e4e198c008b04740f00101f9014379020000000000c0020a
North Carolina,51da5f2cc283c253c059bef15aae23d64140f00101f9012d6b030000000000c0020a
North Dakota,512daf5c6f9b2259c059f81e89f260cf4740f00101f9017577020000000000c0020a
Nebraska,516b91fea897e558c05998f331c456de4440f00101f9017077020000000000c0020a
New Hampshire,51c6747c0ff2e951c0599e7296a311be4540f00101f9018d06010000000000c0020a
New Jersey,51e2d121cbdd9952c0599386bfcbb1094440f00101f901b76e030000000000c0020a
New Mexico,51be6c3b6d8d7f5ac0595d41898510494140f00101f901de78020000000000c0020a
Nevada,5195168964a3365dc059130a117008c24340f00101f9016186020000000000c0020a
New York,51fc123b6414f652c059d816f950fd934540f00101f90188ef000000000000c0020a
Ohio,517ee5417a0aac54c059c7b6b17ed81c4440f00101f9010d79020000000000c0020a
Oklahoma,5195229e912d5158c0590941fd1d407a4140f00101f9016d77020000000000c0020a
Oregon,51d0effb372f2f5ec0597f91860959fd4540f00101f9016486020000000000c0020a
Pennsylvania,51e973ffa2956e53c059d37da598287c4440f00101f9013d79020000000000c0020a
Puerto Rico,51a67b9dd4179f50c059301ae8908a393240f00101f901cc7b430000000000c0020a
Rhode Island,51fc22fce659e651c0596a9ec838ebe54440f00101f901d3fe050000000000c0020a
South Carolina,5127d4788eed1b54c05931009efefdd74040f00101f901286b030000000000c0020a
South Dakota,51b247a819521659c0595d209caad6524640f00101f9017477020000000000c0020a
Tennessee,5141adb36b0c9255c0599cc7bce9f1e24140f00101f9012e78020000000000c0020a
Texas,515e94ea4ceba258c0599f39eb538e433f40f00101f90102c0010000000000c0020a
Utah,51b4e89d0ab8ed5bc0594ff7f01b15b64340f00101f901c978020000000000c0020a
West Virginia,51a7e7dd58d03554c059f48d4358e83c4340f00101f9011479020000000000c0020a
Vermont,5122dedf45042052c059597a7e62ae4c4640f00101f90157ed000000000000c0020a
Washington,51166d8e739b0d5ec059baab0d04b7a44740f00101f9016786020000000000c0020a
Wisconsin,51ecfe0cca0f6c56c059ce3637a627374640f00101f9015a86020000000000c0020a
Virginia,51f0e7f481a4aa53c0595f5d2f8763c14240f00101f9012a6b03000000000092030856697267696e6961
Wyoming,51802a6edc62e45ac05972bad16cc3954540f00101f901c778020000000000c0020a
